"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Todd Gurley","II","","RB1","","","","1.0"
"2","Le","","'Veon Bell ","","","RB2","","","","2.0"
"3","David Johnson","","","RB3","","","","3.5"
"4","Ezekiel Elliott","","","RB4","","","","3.5"
"5","Antonio Brown","","","WR1","","","","5.0"
"6","Alvin Kamara","NO","6","RB5","","","","6.5"
"7","Saquon Barkley","PHI","9","RB6","","","","6.5"
"8","DeAndre Hopkins","BAL","10","WR2","","","","9.0"
"9","Leonard Fournette","","","RB7","","","","9.0"
"10","Melvin Gordon","III","","RB8","","","","10.0"
"11","Kareem Hunt","","","RB9","","","","10.0"
"12","dell Beckham Jr.","O","","WR3","","","","12.0"
"13","Julio Jones","","","WR4","","","","14.0"
"14","Dalvin Cook","","","RB10","","","","14.0"
"15","Christian McCaffrey","SF","11","RB11","","","","15.0"
"16","Michael Thomas","","","WR5","","","","15.5"
"17","Keenan Allen","LAC","8","WR6","","","","18.0"
"18","Devonta Freeman","","","RB12","","","","18.5"
"19","Davante Adams","LAR","12","WR7","","","","18.5"
"20","Jordan Howard","","","RB13","","","","19.0"
"21","A.J. Green ","","","WR8","","","","21.5"
"22","Rob Gronkowski","","","TE1","","","","22.5"
"23","Joe Mixon","","","RB14","","","","23.5"
"24","Mike Evans","SF","11","WR9","","","","23.5"
"25","LeSean McCoy","","","RB15","","","","25.0"
"26","Tyreek Hill","","","WR10","","","","25.5"
"27","Stefon Diggs","","","WR11","","","","29.5"
"28","T.Y. Hilton","","","WR12","","","","29.5"
"29","Travis Kelce","KC","12","TE2","","","","31.0"
"30","Aaron Rodgers","","","QB1","","","","31.0"
"31","Alex Collins ","","","RB16","","","","32.5"
"32","Adam Thielen","","","WR13","","","","32.5"
"33","Derrick Henry","BAL","10","RB17","","","","32.5"
"34","Doug Baldwin","","","WR14","","","","33.5"
"35","Kenyan Drake","","","RB18","","","","35.0"
"36","Amari Cooper","","","WR15","","","","37.0"
"37","Larry Fitzgerald","","","WR16","","","","38.0"
"38","Zach Ertz","","","TE3","","","","38.5"
"39","Jay Ajayi ","","","RB19","","","","41.0"
"40","JuJu Smith-Schuster","","","WR17","","","","41.5"
"41","Royce Freeman","","","RB20","","","","43.0"
"42","Brandin Cooks","","","WR18","","","","44.0"
"43","Lamar Miller","","","RB21","","","","44.5"
"44","Josh Gordon ","","","WR19","","","","45.0"
"45","Demaryius Thomas ","","","WR20","","","","46.0"
"46","Jarvis Landry","","","WR21","","","","46.0"
"47","Mark Ingram II ","","","RB22","","","","48.0"
"48","Deshaun Watson","CLE","11","QB2","","","","48.0"
"49","Allen Robinson","II","","WR22","","","","50.5"
"50","Golden Tate","","","WR23","","","","53.0"
"51","Jimmy Graham","","","TE4","","","","53.5"
"52","Tom Brady","","","QB3","","","","54.5"
"53","Marvin Jones Jr. ","","","WR24","","","","56.0"
"54","Russell Wilson","","","QB4","","","","57.0"
"55","Marshawn Lynch ","","","RB23","","","","58.0"
"56","Carlos Hyde","","","RB24","","","","58.5"
"57","Dion Lewis","","","RB25","","","","59.5"
"58","Chris Hogan","","","WR25","","","","60.0"
"59","Rashaad Penny","","","RB26","","","","61.0"
"60","Greg lsen","O","","TE5","","","","63.0"
"61","Alshon Jeffery","","","WR26","","","","64.5"
"62","Cam Newton ","","","QB5","","","","66.0"
"63","Corey Davis","","","WR27","","","","67.0"
"64","Evan Engram","DEN","10","TE6","","","","68.0"
"65","Michael Crabtree","","","WR28","","","","68.5"
"66","Tevin Coleman","","","RB27","","","","68.5"
"67","Sony Michel","","","RB28","","","","69.0"
"68","Drew Brees","","","QB6","","","","70.0"
"69","Marquise Goodwin","","","WR29","","","","70.5"
"70","Kerryon Johnson ","","","RB29","","","","70.5"
"71","Julian Edelman ","","","WR30","","","","72.0"
"72","Rex Burkhead","","","RB30","","","","73.5"
"73","Emmanuel Sanders ","","","WR31","","","","73.5"
"74","Jamaal Williams","","","RB31","","","","74.0"
"75","Sammy Watkins","","","WR32","","","","75.0"
"76","William Fuller V ","","","WR33","","","","76.5"
"77","Carson Wentz","MIN","10 ","QB7","","","","77.5"
"78","Delanie Walker ","","","TE7","","","","77.5"
"79","Kyle Rudolph","","","TE8","","","","78.0"
"80","Ronald Jones","II","","RB32","","","","78.5"
"81","Devin Funchess","","","WR34","","","","79.5"
"82","Trey Burton ","","","TE9","","","","81.5"
"83","Marlon Mack","","","RB33","","","","85.0"
"84","Kirk Cousins","LV","","QB8","","","","85.0"
"85","Cooper Kupp","SEA","7 ","WR35","","","","85.5"
"86","Tarik Cohen","","","RB34","","","","86.0"
"87","Isaiah Crowell ","","","RB35","","","","86.5"
"88","Robert Woods","","","WR36","","","","89.0"
"89","Jordy Nelson","","","WR37","","","","90.0"
"90","Robbie Chosen","","","WR38","","","","92.5"
"91","Jamison Crowder","","","WR39","","","","93.5"
"92","Pierre Garcon ","","","WR40","","","","95.5"
"93","Jordan Reed ","","","TE10","","","","96.0"
"94","Randall Cobb","","","WR41","","","","96.5"
"95","Chris Carson","","","RB36","","","","97.0"
"96","Andrew Luck","","","QB9","","","","97.0"
"97","Aaron Jones r.","MIN","10 S","RB37","","","","98.5"
"98","Jimmy Garoppolo","LAR","12 ","QB10","","","","100.5"
"99","Nelson Agholor","","","WR42","","","","100.5"
"100","Matthew Stafford","LAR","12","QB11","","","","101.5"
"101","Nick Chubb","","","RB38","","","","104.0"
"102","Duke Johnson Jr.","","","RB39","","","","106.5"
"103","Peyton Barber","","","RB40","","","","108.0"
"104","Kelvin Benjamin","","","WR43","","","","108.0"
"105","Philip Rivers","","","QB12","","","","108.5"
"106","Sterling Shepard","","","WR44","","","","109.5"
"107","Matt Ryan","","","QB13","","","","110.5"
"108","Ben Roethlisberger","","","QB14","","","","111.5"
"109","C.J. Anderson","","","RB41","","","","112.0"
"110","David Njoku","","","TE11","","","","114.5"
"111","Kenny Stills","","","WR45","","","","115.0"
"112","Patrick Mahomes II","KC","12","QB15","","","","118.0"
"113","Jared Goff","DET","6","QB16","","","","118.5"
"114","Allen Hurns","","","WR46","","","","120.0"
"115","Calvin Ridley","TEN","8","WR47","","","","122.0"
"116","Adrian Peterson","","","RB42","","","","122.5"
"117","DeVante Parker","","","WR48","","","","122.5"
"118","DJ Moore","BUF","11","WR49","","","","122.5"
"119","Latavius Murray","","","RB43","","","","123.0"
"120","Jack Doyle ","","","TE12","","","","124.0"
"121","Ty Montgomery","II","","RB44","","","","124.5"
"122","Corey Clement","","","RB45","","","","125.5"
"123","LeGarrette Blount","","","RB46","","","","128.0"
"124","James White","","","RB47","","","","130.0"
"125","George Kittle","SF","11","TE13","","","","130.5"
"126","Greg Zuerlein","","","K1","","","","133.5"
"127","Kenny Golladay","","","WR50","","","","134.0"
"128","Marcus Mariota","WAS","4","QB17","","","","135.0"
"129","Cameron Meredith ","","","WR51","","","","137.5"
"130","Devontae Booker","","","RB48","","","","138.0"
"131","Alex Smith ","","","QB18","","","","138.5"
"132","Stephen Gostkowski","","","K2","","","","139.0"
"133","Bilal Powell ","","","RB49","","","","141.0"
"134","Derek Carr","","","QB19","","","","143.0"
"135","Tyler Eifert ","","","TE14","","","","146.0"
"136","Michael Gallup","","","WR52","","","","146.0"
"137","Giovani Bernard","","","RB50","","","","147.0"
"138","Tyler Lockett","LV","","WR53","","","","148.0"
"139","Justin Tucker","","","K3","","","","148.5"
"140","Dak Prescott","DAL","8","QB20","","","","151.5"
"141","Matt Breida ","","","RB51","","","","152.0"
"142","D","","'Onta Foreman","","","RB52","","","","153.0"
"143","Doug Martin","","","RB53","","","","153.5"
"144",".J. Howard","O","","TE15","","","","154.0"
"145","Chris Thompson","","","RB54","","","","171.5"
"146","Keelan Cole Sr.","","","WR54","","","","154.5"
"147","Jacksonville Jaguars","DST","9","DST1","","","","95.0"
"148","Anthony Miller","","","WR55","","","","157.5"
"149","Martavis Bryant ","","","WR56","","","","158.5"
"150","Mike Williams","","","WR57","","","","240.0"
"151","Josh Doctson","","","WR58","","","","160.5"
"152","Mohamed Sanu Sr.","","","WR59","","","","160.5"
"153","Los Angeles Rams","DST","12","DST2","","","","106.0"
"154","Rishard Matthews","","","WR60","","","","163.0"
"155","Minnesota Vikings","DST","10","DST3","","","","111.0"
"156","Dez Bryant ","","","WR61","","","","112.0"
"157","Marqise Lee ","","","WR62","","","","113.0"
"158","Jameis Winston","NYG","9 ","QB21","","","","165.5"
"159","Eric Ebron","","","TE16","","","","167.0"
"160","Mitchell Trubisky","TEN","8","QB22","","","","168.0"
"161","Jordan Wilkins","","","RB55","","","","169.0"
"162","Alfred Morris","","","RB56","","","","169.5"
"163","Philadelphia Eagles","DST","9","DST4","","","","123.0"
"164","Chris Godwin Jr.","TB","5","WR63","","","","170.0"
"165","Dede Westbrook","","","WR64","","","","170.0"
"166","Los Angeles Chargers","DST","8","DST5","","","","127.0"
"167","Austin Seferian-Jenkins","","","TE17","","","","172.5"
"168","Wil Lutz","DEN","10","K4","","","","172.5"
"169","Eli Manning","","","QB23","","","","174.0"
"170","Austin Hooper","ATL","8","TE18","","","","176.5"
"171","John Brown","","","WR65","","","","180.5"
"172","Houston Texans","DST","10","DST6","","","","137.0"
"173","Baltimore Ravens","DST","10","DST7","","","","138.0"
"174","DeSean Jackson","","","WR66","","","","139.0"
"175","Geronimo Allison ","","","WR67","","","","178.5"
"176","Jake Elliott","PHI","9","K5","","","","179.0"
"177","Benjamin Watson","","","TE19","","","","179.5"
"178","Robert Kelley","","","RB57","","","","179.5"
"179","Theo Riddick","","","RB58","","","","143.0"
"180","Denver Broncos","DST","10","DST8","","","","148.0"
"181","Nyheim Miller-Hines","","","RB59","","","","148.0"
"182","Christian Kirk","SF","11 ","WR68","","","","183.0"
"183","Case Keenum","CHI","5","QB24","","","","183.5"
"184","Cameron Brate","","","TE20","","","","151.0"
"185","New Orleans Saints","DST","6","DST9","","","","152.0"
"186","Austin Ekeler","","","RB60","","","","184.5"
"187","Alex Erickson","","","WR69","","","","154.0"
"188","Frank Gore ","","","RB61","","","","186.0"
"189","Andy Dalton","PHI","9 ","QB25","","","","186.5"
"190","Pharoh Cooper","","","WR70","","","","157.0"
"191","Tyrell Williams","","","WR71","","","","187.0"
"192","Tyrod Taylor","","","QB26","","","","187.5"
"193","Ryan Switzer","","","WR72","","","","159.0"
"194","Ricky Seals-Jones","","","TE21","","","","188.0"
"195","Donte Moncrief","","","WR73","","","","188.5"
"196","Jonathan Williams","","","RB62","","","","161.0"
"197","James Conner","ARI","9","RB63","","","","189.5"
"198","Paul Richardson Jr. ","","","WR74","","","","163.0"
"199","John Ross","","","WR75","","","","201.0"
"200","Ted Ginn Jr.","","","WR76","","","","165.0"
"201","Harrison Butker","KC","12","K6","","","","191.5"
"202","Jared Cook","","","TE22","","","","172.0"
"203","Danny Amendola","","","WR77","","","","194.5"
"204","Chicago Bears","DST","5","DST10","","","","173.0"
"205","Blake Bortles","","","QB27","","","","173.0"
"206","Matt Bryant","","","K7","","","","195.0"
"207","Carolina Panthers","DST","4","DST11","","","","176.0"
"208","Courtland Sutton","DEN","10","WR78","","","","196.5"
"209","Mike Gesicki","CIN","9","TE23","","","","179.0"
"210","Jakeem Grant Sr.","","","WR79","","","","181.0"
"211","Andre Roberts","","","WR80","","","","182.0"
"212","Samaje Perine","CIN","9","RB64","","","","184.0"
"213","T.J. Yeldon","","","RB65","","","","201.0"
"214","Robbie Gould","","","K8","","","","201.0"
"215","Spencer Ware","","","RB66","","","","201.0"
"216","Hayden Hurst","","","TE24","","","","187.0"
"217","John Kelly Jr.","","","RB67","","","","232.5"
"218","Cleveland Browns","DST","11","DST12","","","","190.0"
"219","Vance McDonald","","","TE25","","","","191.0"
"220","New England Patriots","DST","11","DST13","","","","192.0"
"221","Pittsburgh Steelers","DST","7","DST14","","","","195.0"
"222","Chris Ivory","","","RB68","","","","195.0"
"223","Chris Boswell","PIT","7 ","K9","","","","206.0"
"224","Charles Clay","","","TE26","","","","197.0"
"225","Javorius Allen","","","RB69","","","","198.0"
"226","Kenneth Dixon","","","RB70","","","","199.0"
"227","Jeremy Hill ","","","RB71","","","","200.0"
"228","Quincy Enunwa","","","WR81","","","","224.5"
"229","Atlanta Falcons","DST","8","DST15","","","","202.0"
"230","Arizona Cardinals","DST","9","DST16","","","","203.0"
"231","Mason Crosby","","","K10","","","","210.0"
"232","Kalen Ballage","","","RB72","","","","204.0"
"233","Ryan Tannehill","","","QB28","","","","208.0"
"234","Daniel Carlson","LV","","K11","","","","226.5"
"235","Tennessee Titans","DST","8","DST17","","","","209.0"
"236","Jordan Matthews","","","TE27","","","","209.0"
"237","Matt Prater","","","K12","","","","214.0"
"238","Dan Bailey","","","K13","","","","277.5"
"239","James Washington","","","WR82","","","","212.0"
"240","Detroit Lions","DST","6","DST18","","","","213.0"
"241","Jake Butt ","","","TE28","","","","214.0"
"242","Adam Vinatieri","","","K14","","","","250.0"
"243","Brandon McManus","GB","7","K15","","","","235.5"
"244","Tavon Austin","","","WR83","","","","216.0"
"245","Graham Gano ","","","K16","","","","243.0"
"246","Lamar Jackson","BAL","10","QB29","","","","219.0"
"247","Trevor Davis","","","WR84","","","","220.0"
"248","Josh Lambo","","","K17","","","","221.0"
"249","Terrelle Pryor Sr.","","","WR85","","","","222.0"
"250","Baker Mayfield","TB","5","QB30","","","","223.0"
"251","Jermaine Kearse","","","WR86","","","","224.0"
"252","Luke Willson","","","TE29","","","","226.0"
"253","Cole Beasley","","","WR87","","","","227.0"
"254","Willie Snead","IV","","WR88","","","","228.0"
"255","Ka'imi Fairbairn","HOU","10","K18","","","","229.0"
"256","Sam Bradford","","","QB31","","","","231.0"
"257","Phillip Dorsett II","LV","","WR89","","","","232.0"
"258","Corey Coleman","","","WR90","","","","233.0"
"259","Jaylen Samuels","","","RB73","","","","234.0"
"260","Albert Wilson ","","","WR91","","","","235.0"
"261","Jesse James","","","TE30","","","","236.0"
"262","Dallas Goedert","PHI","9","TE31","","","","237.0"
"263","Mike Wallace ","","","WR92","","","","238.0"
"264","Travis Benjamin","","","WR93","","","","240.0"
"265","Joe Flacco","CIN","9","QB32","","","","241.0"
"266","Ryan Griffin","","","TE32","","","","242.0"
"267","Vernon Davis","","","TE33","","","","243.0"
"268","Zay Jones","","","WR94","","","","244.0"
"269","Brandon Marshall","","","WR95","","","","246.0"
"270","Ryan Succop","","","K19","","","","247.0"
"271","Terrance Williams","","","WR96","","","","249.0"
"272","Garrett Celek","","","TE34","","","","250.0"
"273","Blake Jarwin","","","TE35","","","","251.0"
"274","Ed Dickson","","","TE36","","","","253.0"
"275","Cordarrelle Patterson","","","RB74","","","","254.0"
"276","Brandon Zylstra","","","WR97","","","","255.0"
"277","Rod Smith","","","RB75","","","","257.0"
"278","Tre","","'Quan Smith","","","WR98","","","","258.0"
"279","Darren Sproles","","","RB76","","","","259.0"
"280","Elijah McGuire","","","RB77","","","","260.0"
"281","Virgil Green","","","TE37","","","","261.0"
"282","Antonio Gates","","","TE38","","","","262.0"
"283","Kai Forbath","","","K20","","","","263.0"
"284","Jonathan Stewart","","","RB78","","","","264.0"
"285","Dante Pettis","N","6 O","WR99","","","","265.0"
"286","Sam Darnold","SEA","7","QB33","","","","266.0"
"287","Chase Edmonds","WAS","4","RB79","","","","267.0"
"288","Taywan Taylor","","","WR100","","","","268.0"
"289","Stephen Hauschka","","","K21","","","","269.0"
"290","Josh Allen","BUF","11","QB34","","","","271.0"
"291","Keke Coutee","","","WR101","","","","272.0"
"292","DJ Chark Jr.","","","WR102","","","","273.0"
"293","Mark Andrews","BAL","10","TE39","","","","274.0"
"294","Kevin White ","","","WR103","","","","275.0"
"295","Chester Rogers","","","WR104","","","","277.0"
"296","Stephen Anderson","","","TE40","","","","278.0"
"297","Malcolm Brown ","","","RB80","","","","279.0"
"298","Corey Grant ","","","RB81","","","","280.0"
"299","Adam Shaheen","","","TE41","","","","281.0"
"300","Ameer Abdullah","","","RB82","","","","282.0"
"301","Gerald Everett","","","TE42","","","","283.0"
"302","C.J. Prosise ","","","RB83","","","","284.0"
"303","Jaron Brown","","","WR105","","","","285.0"
"304","Curtis Samuel","","","WR106","","","","287.0"
"305","Travaris Cadet","","","RB84","","","","288.0"
"306","Rico Gathers","","","TE43","","","","289.0"
"307","Cameron Artis-Payne","","","RB85","","","","290.0"
"308","Ryan Fitzpatrick","","","QB35","","","","291.0"
"309","Wayne Gallman Jr.","","","RB86","","","","292.0"
"310","Nick Foles","","","QB36","","","","293.0"
"311","Charles Sims","","","RB87","","","","294.0"
"312","Geoff Swaim ","","","TE44","","","","295.0"
"313","Josh Rosen","","","QB37","","","","296.0"
"314","Taylor Gabriel","","","WR107","","","","297.0"
"315","Jake Kumerow","","","WR108","","","","298.0"
"316","Nick Vannett","LAR","12","TE45","","","","300.0"
"317","Dustin Hopkins","","","K22","","","","301.0"
"318","J","","'Mon Moore","","","WR109","","","","302.0"
"319","Matt Barkley","","","QB38","","","","303.0"
"320","Joe Williams","","","RB88","","","","304.0"
"321","Antonio Callaway","","","WR110","","","","305.0"
"322","J.J. Nelson","","","WR111","","","","306.0"
"323","Trent Taylor","","","WR112","","","","307.0"
"324","Brice Butler","","","WR113","","","","308.0"
"325","Mike Gillislee","","","RB89","","","","309.0"
"326","Jacoby Brissett","ARI","9","QB39","","","","310.0"
"327","Jonnu Smith ","","","TE46","","","","311.0"
"328","Kenny Britt","","","WR114","","","","312.0"
"329","Laquon Treadwell","IND","9","WR115","","","","313.0"
"330","Stevan Ridley","","","RB90","","","","314.0"
"331","Josh McCown","","","QB40","","","","315.0"
"332","Dwayne Allen","","","TE47","","","","316.0"
"333","Tyler Kroft ","","","TE48","","","","317.0"
"334","Robert Turbin ","","","RB91","","","","318.0"
"335","Jeremy Maclin ","","","WR116","","","","319.0"
"336","Torrey Smith","","","WR117","","","","320.0"
"337","Brian Hoyer","","","QB41","","","","321.0"
"338","Jacquizz Rodgers","","","RB92","","","","322.0"
"339","J.D. McKissic","","","RB93","","","","323.0"
"340","Chad Williams","","","WR118","","","","324.0"
"341","Orleans Darkwa","","","RB94","","","","325.0"
"342","Steven Jackson","","","RB95","","","","326.0"
"343","Phil Dawson ","","","K23","","","","327.0"
"344","Peyton Hillis","","","RB96","","","","328.0"
"345","Christine Michael","","","RB97","","","","329.0"
"346","Michael Roberts","","","TE49","","","","330.0"
"347","AJ McCarron","","","QB42","","","","331.0"
"348","Cody Latimer","","","WR119","","","","332.0"
"349","Tyler Ervin","","","RB98","","","","333.0"
"350","Mark Walton","","","RB99","","","","334.0"
"351","Jordan Leggett","","","TE50","","","","335.0"
"352","Xavier Grimble","","","TE51","","","","336.0"
"353","Chris Johnson ","","","RB100","","","","337.0"
"354","Brandon LaFell ","","","WR120","","","","338.0"
"355","Wes Welker","","","WR121","","","","339.0"
"356","Jalen Richard","","","RB101","","","","340.0"
"357","Brock Osweiler","","","QB43","","","","341.0"
"358","","","","1","","","","342.0"
"359","Adam Humphries","","","WR122","","","","343.0"
"360","Phillip Lindsay","","","RB102","","","","345.0"
"361","Dennis Pitta","","","TE52","","","","346.0"
"362","Randy Moss","","","WR123","","","","347.0"
"363","Tajae Sharpe","","","WR124","","","","348.0"
"364","Tony Romo","","","QB44","","","","349.0"
"365","Malcolm Mitchell","","","WR125","","","","350.0"
"366","Knowshon Moreno","","","RB103","","","","351.0"
"367","Marques Colston","","","WR126","","","","352.0"
"368","Akeem Hunt","","","RB104","","","","353.0"
"369","Sebastian Janikowski","","","K24","","","","354.0"
"370","Caleb Sturgis","","","K25","","","","355.0"
"371","Rashard Higgins","","","WR127","","","","356.0"
"372","Jordan Akins","","","TE53","","","","357.0"
"373","Marcedes Lewis","","","TE54","","","","358.0"
"374","Ryan Grant ","","","WR128","","","","359.0"
"375","Equanimeous St. Brown","","","WR129","","","","360.0"
"376","Tyler Boyd","","","WR130","","","","362.0"
"377","Coby Fleener","","","TE55","","","","363.0"
"378","Kendall Wright","","","WR131","","","","364.0"
"379","Damoun Patterson","","","WR132","","","","365.0"
"380","Tyler Higbee","LAR","12","TE56","","","","366.0"
"381","Aldrick Rosas","","","K26","","","","367.0"
"382","Cairo Santos","CHI","5","K27","","","","368.0"
"383","Alfred Blue","","","RB105","","","","369.0"
"384","Marcus Murphy ","","","RB106","","","","370.0"
"385","Landry Jones","","","QB45","","","","371.0"
"386","Thomas Rawls","","","RB107","","","","372.0"
"387","Trenton Cannon","","","RB108","","","","373.0"
"388","Clive Walford","","","TE57","","","","374.0"
"389","Fitzgerald Toussaint","","","RB109","","","","375.0"
"390","Javon Wims","","","WR133","","","","376.0"
"391","Troymaine Pope","","","RB110","","","","378.0"
"392","C.J. Beathard","","","QB46","","","","379.0"
"393","C.J.","Ham","","RB111","","","","380.0"
"394","Boston Scott","","","RB112","","","","381.0"
"395","Tommylee Lewis","","","WR134","","","","382.0"
"396","Terrance West","","","RB113","","","","383.0"
"397","Justin Hardy","","","WR135","","","","384.0"
"398","Justin Watson","HOU","10","WR136","","","","385.0"
"399","Teddy Bridgewater","DET","6","QB47","","","","386.0"
"400","Johnny Manziel","","","QB48","","","","387.0"
"401","Wendell Smallwood","","","RB114","","","","388.0"
"402","Mike Boone","","","RB115","","","","389.0"
"403","David Moore","CAR","4","WR137","","","","390.0"
"404","Mark Sanchez","","","QB49","","","","391.0"
"405","Zane Gonzalez","MIA","11","K28","","","","392.0"
"406","Nathan Peterman","","","QB50","","","","393.0"
"407","Eric Tomlinson ","","","TE58","","","","394.0"
"408","Eddy Pineiro","SF","11","K29","","","","395.0"
"409","Colin Kaepernick","","","QB51","","","","396.0"
"410","Mike Davis","","","RB116","","","","397.0"
"411","Shelton Gibson","","","WR138","","","","398.0"
"412","Cody Parkey","","","K30","","","","399.0"
"413","Aaron Hernandez","","","TE59","","","","400.0"
"414","Brett Maher","","","K31","","","","401.0"
"415","Deonte Thompson","","","WR139","","","","402.0"
"416","Matt Cassel","","","QB52","","","","403.0"
"417","Jeff Heuerman ","","","TE60","","","","404.0"
"418","DeAndre Washington","","","RB117","","","","405.0"
"419","Kerwynn Williams","","","RB118","","","","406.0"
"420","Derek Watt","","","RB119","","","","407.0"
"421","Chandler Catanzaro","","","K32","","","","408.0"
"422","Bennie Fowler","III","","WR140","","","","409.0"
"423","Seth Roberts","","","WR141","","","","410.0"
"424","DaeSean Hamilton","","","WR142","","","","411.0"
"425","Derek Carrier","","","TE61","","","","412.0"
"426","Akrum Wadley","","","RB120","","","","413.0"
"427","Bruce Ellington","","","WR143","","","","414.0"
"428","Charcandrick West","","","RB121","","","","415.0"
"429","Mack Hollins","NE","11","WR144","","","","416.0"
"430","Brandon Tate","","","WR145","","","","417.0"
"431","Dwayne Harris","","","WR146","","","","418.0"
"432","Kyle Juszczyk","SF","11","RB122","","","","419.0"
"433","Roberto Aguayo","","","K33","","","","420.0"
"434","Tim Tebow","","","TE62","","","","421.0"
"435","Jacob Hollister","","","TE63","","","","422.0"
"436","Brett Hundley","","","QB53","","","","423.0"
"437","Roc Thomas","","","RB123","","","","425.0"
"438","Marquez Valdes-Scantling","","","WR147","","","","426.0"
"439","Braxton Berrios","","","WR148","","","","427.0"
"440","Richie James Jr.","","","WR149","","","","428.0"
"441","Justin Davis","","","RB124","","","","429.0"
"442","Braxton Miller","","","WR150","","","","430.0"
"443","Ito Smith ","","","RB125","","","","431.0"
"444","Randy Bullock","","","K34","","","","432.0"
"445","Kyle Lauletta","","","QB54","","","","433.0"
"446","Amara Darboh","","","WR151","","","","434.0"
"447","Jason Sanders","NYG","9","K35","","","","435.0"
"448","T.J. Jones","","","WR152","","","","436.0"
"449","Jeremy Kerley","","","WR153","","","","437.0"
"450","Chris Conley","","","WR154","","","","438.0"
"451","Mason Rudolph","PIT","7","QB55","","","","439.0"
"452","Niles Paul","","","TE64","","","","440.0"
"453","Keith Smith","","","RB126","","","","441.0"
"454","Patrick DiMarco","","","RB127","","","","442.0"
"455","Andy Janovich","","","RB128","","","","443.0"
"456","Joe Webb","III","","QB56","","","","444.0"
"457","Nick Boyle","","","TE65","","","","445.0"
"458","Chris Moore","","","WR155","","","","446.0"
"459","Jermaine Gresham","","","TE66","","","","447.0"
"460","Justin Hunter ","","","WR156","","","","448.0"
"461","Demarcus Robinson","SF","11","WR157","","","","449.0"
"462","Brandon Weeden","","","QB57","","","","450.0"
"463","Demetrius Harris ","","","TE67","","","","451.0"
"464","Seth DeValve","","","TE68","","","","452.0"
"465","Nate Sudfeld","","","QB58","","","","453.0"
"466","Lee Smith","","","TE69","","","","454.0"
"467","Lance Kendricks","","","TE70","","","","455.0"
"468","Eli Rogers ","","","WR158","","","","456.0"
"469","A.J. Derby","","","TE71","","","","457.0"
"470","Benny Cunningham Jr.","","","RB129","","","","458.0"
"471","Chad Hansen","","","WR159","","","","459.0"
"472","De","","'Anthony Thomas","","","WR160","","","","460.0"
"473","Jamize Olawale","","","RB130","","","","461.0"
"474","Chris Herndon","IV","","TE72","","","","462.0"
"475","Nick O","","'Leary","","","TE73","","","","463.0"
"476","Logan Paulsen","","","TE74","","","","464.0"
"477","Geno Smith","NYJ","11","QB59","","","","465.0"
"478","Josh Hill","","","TE75","","","","466.0"
"479","Blaine Gabbert","","","QB60","","","","467.0"
"480","Kendrick Bourne","ARI","9","WR161","","","","468.0"
"481","Josh Reynolds","","","WR162","","","","469.0"
"482","Hunter Henry","NE","11","TE76","","","","470.0"
""
""